id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
1866019,2021-01-19,Yeni tikili,15 / 17,56 m²,2,yoxdur,125 000AZN,"FİRMALAR NARAHAT ETMƏSİN!

Yuksək keyfiyətlə inşa edilmiş yeni tikili H.Əliyev(İnqilab) kuçəsində,TIBB UNIVERSİTETİN yaxinliqinda yerləşir,mənzil 2otaqa duzəlib,yuksək keyfiyətlə təmir olunub,istilik sistemi kombi,2lift,yeralti qaraj,24saat muhafizə və kamera sistemi,və s.Təmirdən sonra yaşayiş olmayib.

БЕЗ ФИРМ И ПОСРЕДНИКОВ!

Идеальный комплекс построенный со стороны надежной компании расположен по улице Ингилаб,недалеко от АСАН Хидмет,квартира переделана в 2х комнату,суперремонт в стиле модерн,отопительная система комби,2лифта,подземный гараж,круглосуточная охрана и видеонаблюдения,т.д.После ремонта не жили.",10,"Neftçi bazası 
"," Nəsimi r.
",,,,,,,
1724607,2021-01-19,Yeni tikili,3 / 20,127 m²,3,var,200 000AZN,vasitəçi (agent),"TECILI SATILIR !!! Ali mehkemenin yaninda yeni tikilmis (ALYANS MTK-da) 20 mertebeli binanin 3-cu mertebesinde 3 otaqli temirsiz (podmayak) menzil satilir . Bina tam yasayisli ve QAZLI+KUPCALI-dir . Genis usaq meydancasi , yeralti ve yerustu avto dayanacagi , 24 saat muhafize xidmeti var . Menzil muqavileyle satilir . Etrafli melumat ucun elaqe saxlaya bilersiniz .",36,"Şah İsmayıl Xətai m.
"," Cavanşir körpüsü 
"," Xətai r.
",,,,,
1866014,2021-01-19,Yeni tikili,3 / 19,270 m²,4,var,360 000AZN,vasitəçi (agent),"H.Zərdabi pr.də Nazirlər Kabineti işçiləri üçün tikilmiş yaşayışlı yeni kompleksdə 4-otaqlı 270 kv.m ümumi sahəsi olan mənzil real qiymətindən aşağı satılır.5-otaqlıya asanlıqla çevirmək olur. Mənzildə təmir işləri 50% görülüb.Zalı 70 kv,mətbəx 28 kv,holl 25 kv,yataq otaqları 32, 27,24 kv.m dir. 3 hamam otağı,3 eyvanı var.Binada qaz,su,işıq daimidir.KUPÇALAR verilir.Kompleksin böyük ərazisi,3-mərtəbəli yeraltı avtodayanacağı mövcuddur.",230,"Yasamal r.
",,,,,,,
1866012,2021-01-19,Yeni tikili,16 / 16,86 m²,2,var,130 000AZN,vasitəçi (agent),"TECILI SATILIR !!! Xetai metrosunun yaninda yeni tikilmis 16 mertebeli binanin 16-ci mertebesinde 2 otaqli temirsiz (podmayak) menzil satilir . Bina yasayisli ve QAZLI+KUPCALI-dir . Genis usaq meydancasi , yeralti ve yerustu avto dayanacagi , 24 saat muhafize xidmeti var . Etrafli melumat ucun elaqe saxlaya bilersiniz .",26,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,
1865006,2021-01-19,Yeni tikili,2 / 17,100 m²,2,var,167 500AZN,vasitəçi (agent),Semed Vurgun bagina yaxin. Neftciler xestexanasin arxasinda. Qazi var ! Cixariwi var ! Manzil 2-otaglidir Sahasi-100 kvm dir. 2/17 martaba.KOMBI-istilik sistemi var. Binanin yeralti avtodayanacagi var. Hal-hazirda manzilde hec kim yawamir. ,10,"Cavanşir körpüsü 
"," Şah İsmayıl Xətai m.
"," Nəsimi r.
",,,,,
1866011,2021-01-19,Yeni tikili,10 / 27,178 m²,4,var,210 000AZN,vasitəçi (agent),"EKSKLUZIV !!! Neqliyat nazirliyinin yaninda yeni tikilmis 27 mertebeli 10-cu mertebesinde 4 otaqli temirsiz (podmayak) menzil satilir . Binanin qazi , suyu , isiqi daimidir . MENZILI ALANA USTUNDE QARAJ HEDIYYE ! Qiymet Sondur ! Etrafli melumat ucun elaqe saxlaya bilersiniz .",34,"İnşaatçılar m.
"," Yasamal r.
",,,,,,
1866010,2021-01-19,Yeni tikili,4 / 9,58 m²,2,yoxdur,30 000AZN,vasitəçi (agent),"COX TECILI:Xirdalan s Abseron city yasayis kompileksinde 9un 4 cu mertebesinde 1otaqdan 2 otaga duzelmis menzil satilir>Absheron city de yerleshir ev , genish heyetti mashin saxlamaga yeri , heyetinde bagcasi var. Ev temirlidi, cox yaxshi veziyetdedi. kombi ve butun ev boyu isti pol ile temin olunub. Ev hal hazirda ipotekadadi. kreditde qalan mebleg 32700. 15 il ayliq 307 manatdan, isteyene evi birdefelik odenish etmeklede baglaya biler. ilkin odenish 30000 manat. evin icinde metbex mebeli ve kombi qalacaq.xahis olunur ciddi wexsler elaqe saxlasin xidmet 1%",35,"Xırdalan
",,,,,,,
1866007,2021-01-19,Yeni tikili,2 / 10,212 m²,4,var,450 000AZN,mülkiyyətçi,"İLK DƏFƏ
ƏLƏ DUŞMƏZ TƏKLİF
POD MAYAK QİYMƏTİNƏ

2500azn i̇carədə uzun mudətli̇

dəyəri̇nən qat qat aşagi qi̇ymətə
cixariş 212kv 5otaq yazilib
bu bi̇nada ən yaxşi proyektdi̇r
mənzi̇l mərkəzi̇ yola baxan bi̇nada
qaz su işi̇q dai̇mi̇di̇r

səməd vurgun kuc mamedin binasında 212kv mənzil satılır tam təmirli 
mətbəx mebeli 

vasi̇təci̇ mukafatlanir
fi̇kri̇ ci̇ddi̇ olmayan narahat etmesi̇n
",172,"Sevil Qazıyeva parkı 
"," Rusiya səfirliyi 
"," M.Hüseynzadə parkı 
"," Nəsimi r.
",,,,
1866006,2021-01-19,Yeni tikili,2 / 10,212 m²,5,var,450 000AZN,mülkiyyətçi,"ƏLƏ DUŞMƏZ TƏKLİF

BU KOMPLEKSDE BU QİYMƏTƏ MƏNZİL YOXDU 212KV BU BİNADA ƏN YAXŞI PROYEKTİ

dəyəri̇ndən qat qat aşagi qi̇ymətə
tam təmi̇rli̇ 
cixariş var212kv 5-otaq
2500azn i̇carəci̇ var uzun mudətli̇

səməd vurgun kuc mamedin binalarında maliyye nazirliynen uzbeuz binada mənzil satılır

mənzi̇l mərkəzi̇ yola baxan bi̇nada

vasi̇teci̇ mukafatlanir
fi̇kri̇ ci̇ddi̇ olmayan narahat etmesin",56,"Sevil Qazıyeva parkı 
"," Rusiya səfirliyi 
"," Park Zorge 
"," Nəsimi r.
",,,,
1866004,2021-01-19,Yeni tikili,4 / 15,164 m²,4,var,245 000AZN,vasitəçi (agent),"Bakı şəhəri Xətai rayonu Xocali prospektində olan mənzili sizin üçün təqdim edirik.
SAHƏSİ: 164 KV.M, 4 otağ 15 mərtəbəli binanın 4-cu mərtəbəsi
• Təmirsiz
• Geniş otaqlar
• Geniş həyatyani sahə
• İnkişaf etmiş ərazi( METRO, məktəb, bağça, hipermarketlər, mağazalar və s)
• 3 eyvan
• Komunal öhdəliklər daimi
• Qiymətdə endirim
• Lift (Sərnişin)
• 2 sanitar qovşaq
• PVC pəncərə
• Seyf giriş qapısı
• Hamam və sanitar qovşaq
• Domofon.Kodnan qapı.
• Sakit və təmiz həyət.
HÜQUQİ VƏ PROBLEMSİZ SƏNƏDLƏŞMƏ:
• Mənzilin sənədi kupçadır
• Mənzilin bank öhdəliyi yoxdur. Mənzil mansard deyil!
DAHA ƏTRAFLI MƏLUMAT ÜÇÜN GÖSTƏRİLƏN NÖMRƏ İLƏ ƏLAQƏ SAXLAMAĞINIZ KİFAYƏTDİR.",36,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,
1866003,2021-01-19,Yeni tikili,11 / 12,126 m²,3,var,160 000AZN,vasitəçi (agent),Yeni Yasamalin en gozel yerinde genis erazisi olan 3 otaqli temirli menzil satilir.Qaz su isiq daimi tam yasayisli bina genis otaqlar.Kupcali menzil .Ofisin xidmet haqqi1%,23,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,
1866001,2021-01-19,Yeni tikili,7 / 21,141 m²,3,var,450 000AZN,vasitəçi (agent),"Satılır en prestijli binalardan biri olan  Park Azur yaşayış kompleksinde  141 kv 
3 otaq  21/7 mertebesi  icinde hebir şeraiti olan super temirli  ev satılır Binanın  24 saat-mühafize xidmeti 4 mertebeli yeraltı qarajı 
Binanin 1 ci mertebesinde Bravo market 
heyetinde fitnesi ve uşaq baxcası var elave melumat ucun bizimle elaqe saxlaya bilersiz.",23,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,
