id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
1948876,2021-03-06,Yeni tikili,4 / 17,164 m²,4,yoxdur,300 000AZN,vasitəçi (agent),"H.Cavid pr., ""Çinici"" mağazasının yanında yeni tikili binada, 4/17 4 otaq yaxşı təmirli mənzil. Mənzilin ümumi sahəsi 164 kv.m. Quraşdırılmış mətbəx mebeli, göz oxşayan çılçıraqlar, parket döşəmə, hər otaqda kondisioner, 2 s/q (onlardan biri yataq otağında) və.s. Mərmərli təmiz bloklar, 2 əded ""Siqma"" liftleri, yeraltı qarajı ve parkovka üçün yeri var, uşaq meydançası, 24 saat müşahidə xidməti. Bina infrastruktur cəhətdən əlverişli yerdə yerləşir.
Пр. Г.Джавида., рядом с магазином ""Çinici"" в новом жилом здании, этажность 4/17 продается 4-х комнатная квартира хорошо отремонтированный. Общая площадь 164 кв.м. Встроенная кухонная мебель, великолепная люстры, пол паркет, в каждой комнате есть кондиционер, 2 с/у (один из них в спальни) и.т.д. Централизованная отопительная система. Мраморные чистые блоки, 2 скоростных лифта ""Сигма"", подземный гараж и места для парковки а/м, детская площадка, 24 часа охраняемый двор. Здания находится инфраструтурном выгодном месте.
",17,"Elmlər Akademiyası m.
"," Hüseyn Cavid parkı 
"," Bakı Dövlət Universiteti 
"," Texniki Universiteti 
"," Yasamal r.
"
1948873,2021-03-06,Köhnə tikili,4 / 5,70 m²,3,var,123 000AZN,vasitəçi (agent),"Nərimanovda metro yaxınlığındaında Ağa Neymətulla küçəsində yol qırağı 5 mərtəbəli daş binanın 4 cü mərtəbəsində orta təmirli mənzil təcili satılır.Orta mənzildir,künc deyil,hər iki tərəfə balkonu var.45N-li məktəbə yaxındir.Şəkildəki əşyalarla birlikdə satılir.Həyət evi ilə dəyışmək olar.",13,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,
1948871,2021-03-06,Köhnə tikili,3 / 10,56 m²,2,var,90 000AZN,vasitəçi (agent),"9- cu mikrorayonda  Heydər Məscidinin yaxınlığında yerləşən 26.18 saylı maşrutların son dayanacağında Daşkənd   proyektli (1993) ilin binası təmirli.mənzil satışa çıxarılıb.
Mənzil 2 otaqdan 3 otağa artıtılıb.
havası təmiz sakit bir ərazidə yerləşir
Mozaika paket döşəmə.mərkəzi istilik sistemi mövcud olan mənzil səliqəlidir.
mətbəx eyvana çıxarılmışdır.cüzi təmirə ehiyyacı var.
ətraflı məlumat üçün əlaqə saxlaya bilərsiniz.
Elanda qeyd olunan nömürədə vatsaap aktivdir.
Xidmət haqqı 1%",13,"Nəsimi m.
"," Binəqədi r.
"," 9-cu mikrorayon q.
",,
1941122,2021-03-06,Yeni tikili,14 / 18,185 m²,3,var,285 000AZN,vasitəçi (agent),"NİZAMİ METROSUNUN ÇIXIŞINDA,""NİZAMİ MALL"" 
Ticarət Mərkəzinin üstündə. Elit, yeni tikilmiş yaşayışlı bina
Bina “Mtk”-a tərəfindən yüksək səviyyədə inşa edilib. 
QAZ var. Sənəd  Çıxarış – Kupça
3 otaqlı təmirsiz- POD MAYAK  mənzil satılır. 
Ümumi sahəsi 185   kv.m. olan.
 mənzil 18 mərtəbəli binanın 7- ci mərtəbəsindədir.
 Əla planlaşdırılma.
Mənzildə  tavan hündürlüdür, vitraj  və panoramik pəncərələr var.
Yaşayış binasının 24/7. mühafizəli həyəti, mərmər ortuklü blok, 
yeraltı qarajı, səssiz, sürətli liftləri. 
Bina infrastruktur cəhətdən əlverişli yerdə yerləşir. 
Təmirə  başlaya  bilərsiniz.
-----------------------------------------
МЕТРО НИЗАМИ, 
НАД ТОРГОВЫМ ЦЕНТРОМ  “NİZAMİ MALL”
На продаже 3-х комнатная квартира - ПОД МАЯК.
ЭЛИТНЫЙ, ГАЗИФИЦИРОВАННЫЙ КОМПЛЕКС С  КУПЧЕЙ.
Общая площадь квартиры 185 кв.м ,14  этаж 18 этажного здания.
 Отличный проект. МОЖНО ПРИСТУПАТЬ К РЕМОНТУ.
 Бесшумные, скоростные лифты, 
24 часа охраняемой территории, подземный гараж, место для парковки автомобилей. закрытый въезд со шлагбаумом. Преимущества:
центральное местоположение, развитость инфраструктуры, рядом школы, дет. сад, магазины, супермаркеты и т.д… Солидное окружение. 
В комплексе предусмотрено всё, что нужно для полноценного отдыха и спокойной жизни.
",71,"Nizami m.
"," Beşmərtəbə 
"," Yasamal r.
",,
1932052,2021-03-06,Yeni tikili,14 / 19,107 m²,2,yoxdur,224 000AZN,vasitəçi (agent),"DELUXE PALACE premium yaşayış kompleksində, 
Nizami metro stansuyasının yanında, KASPİAN PLAZANIN
 İlə üzbə uz.
19 mərtəbəli yeni tikili binanın 14 -ci mərtəbəsindədır
 Ümumi sahəsi 107 kv.m olan, 
2 otaqlı təmirsiz ( POD MAYAK) mənzil satılır. 
Mənzildə  tavan hündürlüyü 3.40 m.  Mənzilin ideal planlaşdırması var.
Mərkəzi istilik  və soyutma sistemi. Keyfiyyətli və  bahalı qapılar, pəncərələr.
TƏMIRƏ BAŞLAYA BILƏRSINIZ. 
Mitsibishi  istehsal olunan dörd sürətli lift (yük və sərnişin üçün),
 mərmər bloklar, 2 mərtəbəli yeraltı qaraj, 400 avtomobil üçün, geniş həyət. Kamera və video nəzarətı ilə. Yüksək səviyyəli xidmətı. 
 Kompleksdə idman zalı, fitness mərkəzi, sauna, SPA-salon, hovuz, kinoteatr, mağazalar, restoranlar.
------------------------------------------
МЕТРО НИЗАМИ НАПРОТИВ KASPİAN PLAZA. 
Элитный, Жилой комплекс -Deluxe Palace.
расположен,на пересечении улиц  Д. Джаббарлы  и Нахичевани. 
Продается 2 –х комнатная квартира - ПОД МАЯК, 
общая площадь 107 кв.м,14 этаж 19 этажного здания. 
Высота  потолков составляет  - 3,40 м. Квартира с идеальной планировкой.  
Качественные и дорогие двери и окна. МОЖНО НАЧАТЬ РЕМОНТ. Централизованная система отопления и кондиционирования воздуха. 
Четыре скоростных  лифта фирмы “Mitsibishi”, 
 мраморные блоки,  предусмотрен 2- х ярусный подземный гараж,  
рассчитанный на 400 автомобилей,  большой  двор с ландшафтным дизайном. Специализированная служба охраны с камерой и  видеонаблюдением.
Имеется-  тренажерный зал, фитнес центр, сауна, SPA- салон, бассейн, 
кинотеатр, магазины, рестораны.
",72,"Dövlət Statistika Komitəsi 
"," M.Hüseynzadə parkı 
"," Nizami m.
"," Yasamal r.
",
1941153,2021-03-06,Yeni tikili,11 / 17,108 m²,3,var,190 000AZN,vasitəçi (agent),"NİZAMİ METRO STANSIYASI  ÇIXIŞINDA,
""NİZAMİ MALL"" Ticarət Mərkəzinin üstündə
 Elit, yeni tikilmiş yaşayışlı  və Qazli və Kupçalı  bina.
Bina “Mtk”-a tərəfindən yüksək səviyyədə inşa edilib.
 3 otaqlı təmirsiz- POD MAYAK  mənzil satılır. 
Ümumi sahəsi 108   kv.m. olan.
 mənzil 17 mərtəbəli binanın 11- ci mərtəbəsindədir.
 Əla planlaşdırılma. Təmirə  başlaya  bilərsiniz.
Mənzildə  tavan hündürlüdür, vitraj  və panoramik pəncərələr var.
Yaşayış binasının 24/7. mühafizəli həyəti, mərmər ortuklü blok, 
yeraltı qarajı, səssiz, sürətli liftləri. 
Bina infrastruktur cəhətdən əlverişli yerdə yerləşir. 
====================
В одном из самых престижных районов,
 в двух шагах от МЕТРО НИЗАМИ, 
НАД ТОРГОВЫМ ЦЕНТРОМ  “NİZAMİ MALL”
предлагается 3- х комнатная квартира - ПОД МАЯК в новостройке 
ЭЛИТНЫЙ КОМПЛЕКС. ГАЗ и Купчая  имеется.
Общая площадь квартиры 108 кв.м,11 этаж 17  этажного здания.
 Отличный проект, свободная планировка комнат. 
МОЖНО ПРИСТУПАТЬ К РЕМОНТУ. 
Это воплощение современного и комфортного образа жизни. В комплексе предусмотрено всё, что нужно для полноценного отдыха и спокойной жизни. Бесшумные, скоростные лифты, 
24 часа охраняемой территории, подземный гараж, место для парковки автомобилей, закрытый въезд со шлагбаумом. 
Преимущества, центральное местоположение, развитость инфраструктуры, рядом школы, дет. сад, магазины, супермаркеты и т.д…Удобный транспортный маршрут. Солидное окружение.
",104,"Nizami m.
"," Beşmərtəbə 
"," Yasamal r.
",,
1941195,2021-03-06,Yeni tikili,11 / 18,171 m²,4,yoxdur,288 000AZN,vasitəçi (agent),"Şəhərin mərkəzində,
 AZADLIQ PROSPEKTINDƏ, AMERIKA SƏFIRLIYININ yanında,
Süleyman Rüstəm küçəsində,
Yüksek keyfiyyet və  komfort, müassir kompleksində.Qaz var. 
 18 mərtəbəli yeni tikili binanın 11 -ci mərtəbəsindədır
 Ümumi sahəsi 171 kv.m olan
Dənizə və Şəhərə  açılan mənzərəsi , rahatlı  və geniş 4 otaqlı  təmirsiz
 ( POD MAYAK) mənzil satılır. 
Mənzilin ideal planlaşdırması var. Yaşayış binasının 24/7. mühafizəli həyəti, mərmər ortuklü blok,
yeraltı qarajı, müşahidə kameraları, texniki xidmət, səssiz, sürətli liftləri.
Bina infrastruktur cəhətdən əlverişli yerdə yerləşir, ətrafında market, məktəb, bağça, restoranlar, kafelər, metro və avtobus dayanacağı.
------------------------------------------------- 
В самом центре города.
по проспекту АЗАДЛЫГ, чуть ниже   ПОСОЛЬСТВА США.  
В комфортном, современном и  качественно построенном здании.  
На продаже 4- х комнатная квартира – Под Маяк. 
Общая площадь -171 кв/м., 11 этаж 18 этажного здания.
 Квартира с идеальной планировкой, ЗДАНИЕ С ГАЗОМ. 
 С ПАНОРАМНЫМ ВИДОМ НА ГОРОД И МОРЕ.   
МОЖНО НАЧАТЬ РЕМОНТ. Скоростные лифты, мраморное покрытие подъездов.
24 часа охраняемой территории, большой двор, подземные гаражи,
парковка .Развитая инфраструктура школа, дет.сад , поликлиника
и т.д ,элитный контингент.
",69,"Bakı Slavyan Universiteti 
"," Azərbaycan Dillər Universiteti 
"," 28 May m.
"," Nəsimi r.
",
1941204,2021-03-06,Yeni tikili,9 / 17,200 m²,4,var,350 000AZN,vasitəçi (agent),"NİZAMİ METRO STANSİYASININ ÇIXIŞINDA,""NİZAMİ MALL"" 
Ticarət Mərkəzinin üstündə. “Xarici İşlər Nazirliyinın” yanında.
Elit, yeni tikilmiş yaşayışlı bina.
Bina “Mtk”-a tərəfindən yüksək səviyyədə inşa edilib. 
QAZ var. Sənəd  Kupça- Çıxarış. 4 otaqlı təmirsiz- POD MAYAK  
mənzil satılır. Ümumi sahəsi 200   kv.m. olan.
 mənzil 17 mərtəbəli binanın 9- ci mərtəbəsindədir.
 Əla planlaşdırılma. Mənzil  Yelçəkəndir.(skvaznoy).
 DƏNIZƏ VƏ ŞƏHƏRƏ MÖHTƏŞƏM MƏNZƏRƏSI VAR. 
TƏMIRƏ  BAŞLAYA  BILƏRSINIZ.
Mənzildə  tavan hündürlüdür, vitraj  və panoramik pəncərələr var.
Yaşayış binasının 24/7. mühafizəli həyəti, mərmər ortuklü blok, 
yeraltı qarajı, səssiz, sürətli liftləri. 
Bina infrastruktur cəhətdən əlverişli yerdə yerləşir. 
-----------------------------------------,  
В ДВУХ ШАГАХ ОТ МЕТРО НИЗАМИ, 
НАД ТОРГОВЫМ ЦЕНТРОМ  “NİZAMİ MALL
”ОКОЛО МИНИСТЕРСТВА  ИНОСТРАННЫХ  ДЕЛ (МИД),
На продаже 4-х комнатная квартира - ПОД МАЯК.
ЭЛИТНЫЙ, ГАЗИФИЦИРОВАННЫЙ КОМПЛЕКС С КУПЧЕЙ! .
Общая площадь квартиры 200  кв.м , 9  этаж 17 этажного здания.
 Отличный проект. КВАРТИРА СКВОЗНАЯ. 
ШИКАРНАЯ ПАНОРАМА ГОРОДА И МОРЯ. 
МОЖНО ПРИСТУПАТЬ К РЕМОНТУ. Бесшумные, скоростные лифты, 
24 часа охраняемой территории, подземный гараж, место для парковки автомобилей. закрытый въезд со шлагбаумом. Преимущества:
центральное местоположение, развитость инфраструктуры, рядом школы, дет. сад, магазины, супермаркеты и т.д…Удобный транспортный маршрут. 
Солидное окружение.
 В комплексе предусмотрено всё, что нужно для полноценного отдыха и спокойной жизни.
",99,"Nizami m.
"," Beşmərtəbə 
"," Yasamal r.
",,
1944088,2021-03-06,Yeni tikili,12 / 18,93 m²,2,var,171 000AZN,vasitəçi (agent),"NİZAMİ METRO STANSİYASININ ÇIXIŞINDA,""NİZAMİ MALL"" 
Ticarət Mərkəzinin üstündə. Elit, yeni tikilmiş yaşayışlı bina
Bina “Mtk”-a tərəfindən yüksək səviyyədə inşa edilib. 
QAZ var. Sənəd  Kupça –Çıxarış.
2 otaqlı təmirsiz- POD MAYAK  mənzil satılır. 
Ümumi sahəsi 93   kv.m., mənzil 18 mərtəbəli binanın 12- ci mərtəbəsindədir. 
Əla planlaşdırılma.
MƏNZILIN ŞƏHƏRƏ VƏ DƏNIZƏ GÖZƏL  MƏNZƏRƏSI VAR.
Mənzildə  tavan hündürlüdür, vitraj  və panoramik pəncərələr var.
Yaşayış binasının 24/7. mühafizəli həyəti, mərmər ortuklü blok, 
yeraltı qarajı, səssiz, sürətli liftləri. 
Bina infrastruktur cəhətdən əlverişli yerdə yerləşir. 
Təmirə  başlaya  bilərsiniz.
-----------------------------------------
НАПРОТИВ МЕТРО НИЗАМИ, 
НАД ТОРГОВЫМ ЦЕНТРОМ  “NİZAMİ MALL”
На продаже 3-х комнатная квартира - ПОД МАЯК.
ЭЛИТНЫЙ, ГАЗИФИЦИРОВАННЫЙ КОМПЛЕКС С  КУПЧЕЙ.
Общая площадь квартиры 93 кв.м ,12  этаж 18 этажного здания.
 Отличный проект.
 Красивый  панорамный вид ГОРОДА И МОРЯ.
МОЖНО ПРИСТУПАТЬ К РЕМОНТУ. Комплекс повышенной развитой инфраструктуры, 
обладает всеми высокими техническими характеристиками. 
Три скоростных  бесшумных лифта  фирмы “SİGMA”  один грузовой.
 Территория дома охраняется,  имеется подземная парковка, 
видеонаблюдение и еще много приятных опций бизнес – класса. 
В непосредственной близости находятся
 крупнейшие торгово-развлекательные центры, кафе, супермаркеты, 
фитнес-клуб, театры, детские сады, школы, высшие учебные заведения, аптеки, парк и т.д . Солидное окружение.
 В шаговой доступности метро и автобусные станции.
",105,"Nizami m.
"," Beşmərtəbə 
"," Yasamal r.
",,
1948870,2021-03-06,Yeni tikili,7 / 20,181.8 m²,3,yoxdur,550 000AZN,mülkiyyətçi,"Caspian Plazanın yanında, ""DELUXE PALACE"" yaşayış kompleksi. Tam hazır bina Yasamal rayonu Nizami metrosunun yaxınlığında C.Cabbarlı və Naxcıvani küçələrinin kesişməsində yerləşən  yaşayış kompleksinin 7-ci mərtəbəsində ümumi sahesi 183 kv metr olan 3 otaqlı  SUPER təmirli mənzil  satılır.Temir zamani Yuksek keyfiyyetli ve Brend materiallardan I stifade olunub, hemcinin menzile Dizayner terefinden baxis kecirilib.Menzile WIFI TV kabel Telefon xettleri hamisi qoshululudur .şeherin butun eleqantligi ayaginizin altinda olacaq.Menzilin hem şehere ,hem binanin heyetine baxisi mumkundur.Menzilde YAşAYIş olmayib .QEYD ; YAşAYIS KOMPLEKSINDE REMONTLU MENZIL SATISDA YOXDUR . Tavan hündürlüyü 3.40 m. Kompleks yüksək standartalar əsasında tikilmiş, sakinlerin rahatliği ve təhlukəsizliyi üçün hər bir detal incəliklə nəzərə alinmışdır. Kompleks mərkəzləşdirilmiş istilik və soyutma sistemi ilə təchiz olunub. Yaşayış kompleksi ikimərtəbəli avtodayanacaq, 2 səssiz, sürətli Mitsubishi liftləri, daimi video təhlükəsizlik və nəzarət sistemi, geniş həyəti, müasir uşaq mydançası ilə təmin olunub.Binanın ilk 3 mərtəbəsində Brend butiklər, Supermarket, Əyləncə mərkəzi, Restoran, Kinoteatr, Fitnes və SPA mərkəzi sakinlərin istifadəsinə veriləcəkdir. Xəzər dənizinə və dənizkənarı bulvara gözəl mənzərə açılır.. Kompleks 5 blokludur, 1blok iş mərkəzi olacaq,2 mərtəbəli 400 tutumlu avtomobil dayanacağı, İnfrastruktur cəhətdən əlverişli ərazidə yerləşir. Yaxınlığında Nizami metrosu 31-nömrəli məktəb, baxça, market ve s.iaşə obyektləri mövcuddur və real alıcılar ətraflı məlumat ücun zəng vura bilərlər.binada qaz var ",24,"M.Hüseynzadə parkı 
"," Sevil Qazıyeva parkı 
"," Nizami m.
"," Yasamal r.
"," Yasamal q.
"
