id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
1975896,2021-03-21,Köhnə tikili,3 / 5,48 m²,2,var,80 000AZN,vasitəçi (agent),Ecemi metrosuna yaxin ela temirli ewyali 2 otaq razdel ( otaqlar ayri ayri) pol parket istilik kombi sistemi mehlesi temirli bina ülüyü yenilenib temir olunub 4 mkr dairesine yaxin yaxinliqda mekteb baxca market v s elave melumat ücün zeng vurun,16,"Memar Əcəmi m.
"," Nəsimi r.
"," 4-cü mikrorayon q.
",,,,
1975894,2021-03-21,Yeni tikili,4 / 16,114 m²,3,var,220 000AZN,vasitəçi (agent),"Nərimanovi Rayonu H.Əliyevi Mərkəzi ilə üzbəüz Yeni Həyat- ın ilk binası ,20 mərtəbəli binanın 5-ci mərtəbəsində, ümumi sahəsi 114 kv. qanuni 3 otaqlı tam yelçəkən mənzil satılır. Şəkillər mənzilə aiddir buyurun baxın özünüz də dəyərləndirin. İstərsəniz buyurub canlı da baxa bilərsiniz, bunun üçün bir saat öncədən zəng edəsiniz.",56,"Azərbaycan turizm institutu 
"," Gənclik m.
"," Nərimanov r.
",,,,
1975895,2021-03-21,Yeni tikili,10 / 15,210 m²,4,var,390 000AZN,vasitəçi (agent),"Tecili !!! 28 may metrosunun yaxinliqinda Semed Vurgun baginin yani Super temirli menzil satilir.Temirden sonra yasayis olmayib,keyfiyyetli temirdir.Umumi sahesi 204 kv.m -dir Qanunen 4 otaqlidir 3 otaqa predelka olunub zal genislenib,isteyen adam 4 otaqa qaytara biler,Skvaznoydur,Sehere gozel menzeresi var.Qaz su isiq daimidir.Binanin genis heyeti var,24 saat muhafizesi var.Kupcalidir.Ofis haqqi 1 %",15,"Səməd Vurğun parkı 
"," 28 May m.
"," Nəsimi r.
",,,,
1975891,2021-03-21,Yeni tikili,6 / 16,157 m²,4,var,140 000AZN,vasitəçi (agent),Əhmədlidə  ukrayna dairəsi  yaxnliqnda   movida plazanin yani  sahəsi 170 kvm olan əla təmirli mənzil satişa təqdim olunur .Mənzil genis urey açandir və mənzilin kupçasi var qaz su isiq damidir .Əlavə məlumat üçün buyurub əlaqə saxlaya bilərsiniz,48,"Xətai r.
",,,,,,
1975892,2021-03-21,Köhnə tikili,5 / 9,90 m²,3,var,135 000AZN,vasitəçi (agent),"Cox..Tecili..Satilir... IPOTEKAYA YARARLI...8 MKR da Ecemi Naxcivani kuc Dunya mektebin yaninda 9 mertebeli binanin 5 ci mertebesinde radnoy 3 otaq satilir...Otaqlar genişləndirilib.Pol parketdir.Mərkəzi istilik sistemi var. Sənədi kupça.yaninda mekteb baxca marketler var seherin istenilen yerine masrut xetleri binanin genis ve sakit heyeti cox elverisli yerdedir...Xahis olunur ciddi sexsler elaqe saxlasin...OFIS HAQQI 1%
",12,"Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,
1975890,2021-03-21,Yeni tikili,12 / 17,90 m²,3,yoxdur,110 000AZN,vasitəçi (agent),"Yeni Yasamali Əsad Əhmədov küçəsindəki “Arabacı” Tikinti şirkətinin-nin ” İnşa etdiyi 17 mərtəbəli yeni tikilmiş binanın 12-cü mərtəbəsində ümumi sahəsi 90 kv.m. ibarət təmirli 2 otaqlıdan 3 otaqliya düzəldilmiş mənzil satılır. 1 balkon, 1 sanqovşaq Binanın daimi qazı,suyu, işiğı, surətli liftlər, işıqlı kodlu girəcək, 24 saat video müşahidə nəzarəti və maşın dayanacaqları həyətdə  (PARKİNQ) var. Binanın yaxınlığında Uşaq baxçası,Market və Məktəblər mövcutdur. Qiyməti 110 000 AZN.
В Ясамальском районе по улице Асад Ахмедова Продаётся 2 комнатная переделанная в 3- ох комнатную квартиру, в элитной и заселенной новостройке построенного Строительной Компании(ARABACI). Отличная планировка. Этаж 17/12. Общая площадь 90 кв. Свет,вода и газ постоянно. 1 балкон, 1 с/у. 24-часовое видеонаблюдение. В близи здания имеется Школы, Детский сад, маркеты и остановка. Охраняемый дом.(PARKİNQ).Ценa 110000 AZN
",107,"İnşaatçılar m.
"," Yasamal r.
"," Yasamal q.
",,,,
1975889,2021-03-21,Yeni tikili,4 / 12,150 m²,3,var,345 000AZN,vasitəçi (agent),"Nerimanovda Elit binalarin birinde Green Palace yasayis kompleksinde 3 otaqli menzil satilir.Menzilin Umumi sahesi 142 kv.m dir  ela temirlidir,keyfiyyetli temir olunub .Binanin cox gozel genis heyeti var.24 saat muhafizesi ve yer alti dayanacagi var.Kupcalidir Ofis haqqi 1 %",29,"Şərq bazarı 
"," Nərimanov r.
",,,,,
1975602,2021-03-21,Yeni tikili,10 / 18,211 m²,4,var,410 000AZN,vasitəçi (agent),"Предлагаю Вашему вниманию 4-х комнатную квартиру расположенная рядом с бизнес-центром ""Babek Plaza"" площадью 211м² планировка включает.. гостиную, три спальни, два санузла, гардеробную, два балкона.

В квартире выполнен качественный ремонт с использованием дорогих отделочных материалов (делали для себя) паркет-класса люкс,подоконники из мрамора,аксесуары в санузлах и ванной комнате от ""GROHE Euro Ceramic и Vitra"" кафель (Испанский) выключатели, розетки, подрозетные коробки: Gewiss,обои,радиаторы (Италия) индивидуальная отоп. система ""комби"" теплый пол на кухне, прихожей и в санузлах,вместительный шкаф-купе,видео-домофон,надежная входная бронедверь,камера видеонаблюдения и т.д.

Дом заселенный, лифты ""Sigma"" (грузовой и пассажирский) просторный двор,подземный двухэтажный гараж, охрана 24/7,кодовые двери,во дворе комплекса детский садик,супермаркет ""Araz""

В стоимость данной квартиры входит одно парковочное место в хорошем удобном месте. ",64,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,
1975884,2021-03-21,Yeni tikili,9 / 16,65 m²,2,var,119 000AZN,vasitəçi (agent),"TƏCİLİ!!!
QAZ VƏ KUPÇA İLƏ TƏCHİZ OLUNMUŞ YENİ TİKİLİ!!!
Q.Qarayev metrosunun yanında yerləşən
17 mərtəbəli bininanın 9-cu mərtəbəsi
2 otaqlı mənzil (1-dən 2-ə düzəlmə) satılır.
Ümumi sahə 65 kv.m
Mənzil əla təmirlidir, parket döşəmə.
Quraşdırılmış mətbəx mebeli, kombi sitemi, eyvanı, eyvanı və s var.
Binanın  sürətli liftləri, mühafizə olunan həyəti və s var.

СРОЧНО!!!
НОВОСТРОЙКА С ГАЗОМ И КУПЧЕЙ!!!
Около метро К.Караева
Продается 2-х комнатная (одна комнатная переделанная в 2-х) квартира
9-й этаж 17-и этажного дома.
Общая площадь 65 кв.м .
Отличный ремонт, паркетный пол.
Встроенная кухонная мебель, комби система, балкон.
В здание имеется скоростных лифт, охраняемая территория.",12,"Qara Qarayev m.
"," Nizami r.
",,,,,
1975883,2021-03-21,Yeni tikili,2 / 7,87.1 m²,3,var,84 000AZN,mülkiyyətçi,"ƏLA FÜRSƏT! Binəqədi-Mehdiabad yolunun kəsişməsində,Binəqədi Gənclər Şəhərciyində yeni təmirdən çıxmış,umumi sahəsi 87.1 kv metr olan 3 otaqlı super təmirli mənzil satılır.Sənədlər qaydasındadır,ÇIXARIŞ var.Otaqlar geniş və işıqlıdır.Mənzilin arxa tərəfini artırmaq mümkündür.İşıq,su,qaz,mərkəzi istilik sistemi,telefon,yüksəksürətli internet,bir sözlə rahat yaşayış üçün hər bir şərait mövcuddur.Şəhərciydə yeni tikilmiş orta məktəb,uşaq bağçaları,müxtəlif dərnəklər,idman zalları,ərzaq və geyim dükanları,avtobus dayanacagi var.Mənzil özümə aiddir.Xahiş olunur,maklerlər narahat   etməsin.",506,"Binəqədi r.
"," Binəqədi q.
",,,,,
