id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
2004917,2021-04-05,Yeni tikili,14 / 18,153 m²,3,yoxdur,295 000AZN,vasitəçi (agent),"_______ SATILIR ________
Nəsimi rayonu Polis idarəsinin yaxın. Azadlıq Prospekti 28 May... Yeni tikili bina. 18 mertebenin 14 cu mərtəbəsi. Sahəsi 153 kv. Menzil qanuni 3 otaqdi. Temirden sonra yasayis olmayib. Bina tam yasayisli binadi. Qaz var. Sened muqavile. Dizayner terefinden dizayn olunmus menzildi. Temir zamani Keyfiyyetli mayeriallardan istifade olunub.",7,"28 May m.
"," Neft Akademiyası 
"," Bakı Musiqi Akademiyası 
"," Səməd Vurğun parkı 
"," Milli Konservatoriya 
"," Nəsimi r.
",,,
2004914,2021-04-05,Yeni tikili,12 / 17,181 m²,4,yoxdur,178 000AZN,vasitəçi (agent),"Nerimanovda Deyerinden Ucuz rodnoy 4 otağ Menzil Satılır, Bu Qiymete O Kompleksde Menzil Yoxdur !!! Nerimanov r-nu Əliyar Əliyev küç Sizin Menzil Mtk Terefinden İnşa Edilmiş Yaşayış Kompleksinde 17 Mertebeli Binanin 11-ci Mərtəbəsində Ümumi Sahəsi 181 kv olan 4 otaqdan ibarət menzil satılır.,Bina Tam Tikilib Hazirdir Yekunlasma Isleri gedir Hal Hazirda Qisa Muddetde Temire Baslamaq Olar.,Ətraflı Məlumat üçün Əlaqə Saxlaya bilərsiniz !!!",24,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,
2004913,2021-04-05,Yeni tikili,9 / 17,60 m²,2,var,93 000AZN,vasitəçi (agent),"HORMETLI MUSTERILER !!!
QIYMET ENDIRILDI !!!
TECILI !!
QAZ+KUPCA !!!
Nesimi rayonu , papanin korpusune catmamis , Niel wadliq evinin yaxinliginda yerlsen 17 mertebeli yeni tikili binanin 9 cu mertebesinde yerlsen 60 kvm 2 otaq (1 den 2 ye duzleme) ela temirli menzil tecili satilir ..qaz, su ,isiq daimidir , Ipatekaya yararlidir!, Yeni acilacaq metrostansiyanin yaninda yerlesir !. Son Qiymetdir !
xidmet haqqi 1 % dir ! Etrafli melumat ucun zeng edin ,",6,"Bakı Asiya Universiteti 
"," Nəsimi r.
",,,,,,,
2004911,2021-04-05,Köhnə tikili,9 / 9,85 m²,3,var,98 500AZN,mülkiyyətçi,"",33,"Xalqlar Dostluğu m.
"," Xətai r.
"," Əhmədli q.
",,,,,,
2004910,2021-04-05,Yeni tikili,11 / 16,102 m²,3,yoxdur,177 000AZN,vasitəçi (agent),tebriz kucesinde carbax mtk qaz var 2d 3otaqa temirli tecili satilir.,8,"Təhsil Nazirliyi 
"," Nərimanov r.
",,,,,,,
2004909,2021-04-05,Köhnə tikili,9 / 9,85 m²,3,var,102 000AZN,vasitəçi (agent),"HORMETLI MUSTERILER !!!
TECILI SATILIR !!!
Binəqədi ray, Əcəmi Naxçivani 8mrk. Azadlıq və Gənclik Metro stansiyalarına 10 dəqiqəlik aralıqda yerləşən, Köhnə tikili LENİNQRAD layihəli 9 mərtəbəli binanın 9cu mərtəbəsində 3 otaqlı mənzil TƏCİLİ SATILIR. Mənzil YelÇekəndir, Sənədlər qaydasındadır, Kupça (ÇIXARIŞ) ipotekaya yararlıdır. Binada qaz, su, işıq daimidir. Mənzildə istilik sistemi var Kombidir. Ətrafında məktəblər 102, 267, 3 nömrəli və litseylər Dünya və İdrak. Əlavə olaraq geyim və iri məişət mağazaları Baku Electronics, Kontakt home kimi mağazalar vardır. Yaxınlığında Bravo, Bazarstore, Bizim Market kimi iri market şəbəkələri var. Yaxınlıqda uşaq poliklinikası, klinikalar, böyüklər üçün klinika, apteklər mövcuddur. Çox yaxşı infrastruktura malik ərazidə yerləşir! Xais olunur real aliclar narahat etsin , xidmet haqqi 1 % dir , Real alicya cuzi endirim olunacaq etrfali melumat ucun zeng ede bilersiz ...",21,"Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,,
2004908,2021-04-05,Köhnə tikili,3 / 5,80 m²,3,var,150 000AZN,vasitəçi (agent),"Nəsimi rayonu Mirəli Qaşqay küçəsi 5 mərtəbəli köhnə tikili binanın 3-cü mərtəbəsində 2-den 3-e artırma ilə düzəlmə gözəl mənzil satılır. İstilik sistemi mərkəzidir. Qaz su işıq daimidir.
Start qiymət 150 min m
Alıcılar üçün komissiya haqqı 1% təşkil edir.
(0236)",7,"TQDK 
"," Neftçi bazası 
"," Nəsimi r.
",,,,,,
2004906,2021-04-05,Yeni tikili,11 / 14,87 m²,2,yoxdur,118 000AZN,vasitəçi (agent),"Bina qazla təchiz olunub!
Yasamal  rayonu, İctimai TV-nin binasında tam yaşayışlı yeni tikilidə 2 otaqlı mənzil satılır. Mənzildə 80% təmir işləri görülüb. Vanna otağında kafel, metlax döşənib, tavanlarda alçıpan, elektrik  işləri görülüb. Parket döşənib. Qapılar hazırdır.Təmir satış məqsədi ilə olunmayıb. Təmirdə keyfiyyətli tikinti materiallardan istifadə olunub. Mənzil yelçəkəndir. Mərtəbə: 11/14. Ümümi sahəsi-87 kv.m., hündür tavan. Mühafizə olunan həyəti, 2 sürətli liftlər, avto dayanacaq.
KOD: 21439
---------------------------
Здание газифицировано! 
Ясамальский район, В здании İTV  заселенной новостройке продаётся 2-х комнатная сквозная квартира. Ремонт сделан на 80 % В ремонте использовались качественные строительные материалы.  Этаж:11/14. Площадь -87 кв.м. Высокие потолки, паркетные полы. В квартире сделана разводка электрики, сантехники. В ванной выложен кафель. Межкомнатные двери готовы. Охраняемый двор, 2 скоростных лифта, паркинг.
 KOD: 21439",20,"20 Yanvar m.
"," Yasamal r.
",,,,,,,
1946058,2021-04-05,Köhnə tikili,1 / 5,50 m²,2,var,66 000AZN,vasitəçi (agent),"Tecili...Pod obyekt yararli.3-cu Mkr dairesine yaxin 2 otaqli fransiz layiheli menzil.Menzil orta temirlidir,orta blokdur,balkon var.Skvoznoydur,pencere yola baxir.Binanin her terefi obyektlerdir.Heyetde usaq meydancasi var.Evden podvala xod var.Podvalida elave obyekt etmek olar.Yasamaq ucun de yaxsi variantdi,obyekt etmek ucun super variantdi.Esyalarla birlikde satilir.",11,"Memar Əcəmi m.
"," Nəsimi r.
"," 3-cü mikrorayon q.
",,,,,,
2004901,2021-04-05,Yeni tikili,16 / 20,71 m²,2,var,92 000AZN,vasitəçi (agent),"Əhmədli metrosunun yaxınlığında yerləşən 20 mərtəbəli yeni tikilinin 16-cı mərtəbəsində 2 otaqlı qanuni mənzil təcili surətdə satılır. Binadan metroya qədər məsafə 5-10 dəqiqəlikdir. Binanın yaxınlığında marketlər, avtobus dayanacağı və digər lazımi infrastruktur obyektləri vardır. Binada hazırda yaşayış var, qaz, işıq, su daimidir. 
Mənzilin kupçası var və ümumi sahəsi 71.2 kvadrat metirdir. Mənzil əla təmirlidir və təmir zamanı keyfiyyətli tikinti materiallarından istifadə edilmişdir. Pol bahali parketdir. Mənzilin geniş işıqlı otaqları, mətbəxi, sanitariya qovşağı, keyfiyyətli aksesuarlar və santexnikası, KOMBİ istilik sistemi mövcuddur. İsti və soyuq su təchizatı daimidir. Mətbəx mebeli və bəzi əşyalar qalacaq. 
Binanın sürətli liftləri, yeraltı qarajı, təmiz səliqəli blokları, sakinlərin istirahəti üçün geniş həyəti və 7/24 saat mühafizə xidməti vardır. 
Müasir standartlara cavab veren kompleksin üstünlükləri: iki metroya yaxın məsafə, 24 saat kamera nəzarəti, kodlaşdırılmış giriş - çıxışı, yanğın təhlükəsizlik sistemi, yaxınlığında uşaq bağçası, məktəb və apteklər.

Real alıcılar əlaqə saxlaya bilər, qiymətdə endirim mümkündür. Xidmət haqqı 1 faizdir.",23,"Əhmədli m.
"," Xətai r.
",,,,,,,
