id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1929444,2021-02-24,Yeni tikili,15 / 17,55 m²,2,yoxdur,125 000AZN,vasitəçi (agent),"• СРОЧНО ПРОДАЕТСЯ КВАРТИРА !!!
• ОЧЕНЬ ДОРОГОЙ ДИЗАЙНЕРСКИЙ РЕМОНТ !!!
• САМОЕ ГЛАВНОЕ В ДОМЕ ИМЕЕТСЯ ГАЗ !!!

• В самом престижном месте города,
• по улице Азадлыг , недалеко от Asan xidmet
• в престижном жилом здании, оснащенным оборудованием и строительными материалами,
• продается 2-х комнатная квартира, переделанная из 1-но комнатной, скоро выдают купчую.
• Общая площадь 55 кв.м., 17/15этаж, дорогой стильный ремонт высшего класса,после ремонта не жили.
• пол высококачественный паркет,заказные межкомнатные двери,
• обои от ведущих производителей , больших с/у с дорогими аксессуарами .
• Современное высокотехнологичное оборудование, качественная сантехника и многое другое делают квартиру идеальной для жизни ценителя комфорта и роскоши.
• В этом проекте, с использованием дорогих строительных материалов, каждая деталь обдумана вплоть до мельчайшей детали.",4,"Neftçi bazası 
"," Nəsimi r.
",,,,
1929442,2021-02-24,Köhnə tikili,1 / 9,55 m²,2,var,88 000AZN,vasitəçi (agent),"Tecili satilir !! Kupcalidir!! Temirsiz menzil , obyekt kimide istifade elemek olar !!

9 mikrorayonda , Terlan sadliq evinin yaxinliginda, Qanuni 2 otaq 9 un 1 de, temirsiz, 54 kv, MINSKI proyekt  menzil satilir. Binada qaz, isiq, su daimidir . Yolun qiraginda yerlesir. 
Komissiya haqqi 1 faiz",51,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,
1925767,2021-02-24,Yeni tikili,13 / 16,57 m²,2,var,78 000AZN,vasitəçi (agent),"Hezi Aslanovda Tevemin binasl Yaxln Marketin yanldlr 1/2 pirdelka olunub kuxna balüona kecib  kuxnanln yerinde spalni olub evde konbi yoxdur.ev orta blokdur deye ev cox isdidir Binada qaz,su ,islq daimidir.2 lifdi var metroya 2-3 deqiqelikdir genis heyeti var ev tecili satllir 77000 evin son qiymetidir",404,"Həzi Aslanov m.
"," Xətai r.
"," Həzi Aslanov q.
",,,
1929440,2021-02-24,Yeni tikili,8 / 20,54 m²,1,var,55 000AZN,vasitəçi (agent),"TƏCİLİ ! SATILIR, 2 Otağa düzəltmək mümkündür, Şəhərə və dənizə gözəl mənzərəsi var. Xətai Park. Bina tam hazırdı, yaşayəşa təhvil verilib. Suyu, qazı , işığı daimidir, 4 mərtəbəli yerüstü oarkinki, 24 saat mühafizə xidməti, Binanın 5 hektar yaşıllıq ərazisi var. Bina cox keyfiyyətli inşa edilib(dövlət layihəsidir) Binanın altında supermarket(bravo), klinika, fitnes, uşaq baxçası, restaran nəzərdə tutulub. Çıxarışı var, ipateka yolu ilə almaq istəyənlərdə müraciət edə bilər",5,"Xətai r.
"," Əhmədli q.
",,,,
1929438,2021-02-24,Köhnə tikili,3 / 9,60 m²,2,var,78 000AZN,vasitəçi (agent),"Xətai rayonu Həzi Aslanov metrosunun yaxınlığında 1-ci kvadratda 9 mərtəbəli binanın 3-cü mərtəbəsində sahəsi  60kv/m olan 2 otaqlı mənzil satılır.Kiyev layihəsidir.Sənədi çıxarışdır.Qaz ,işıq,su ilə təmin olunub.Ev tam təmirlidir.İstilik sistemi kombidir.Mənzil orta blokda yerləşir.İnfrastruktur  olaraq əlverişlidir,yaxınlığında market,məktəb, və dayanacaq var.Həzi Aslanov metrosuna piyada 5-6 dəqiqə məsafədədir.
Qiyməti  78.000 azn
Xidmət haqqı 1%dir.
",68,"Həzi Aslanov m.
"," Xətai r.
"," Həzi Aslanov q.
",,,
1929437,2021-02-24,Yeni tikili,17 / 17,75 m²,1,var,107 000AZN,vasitəçi (agent),"Bakı Şəhəri Səbail rayonu Badamdar qəsəbəsində R.İsgəndərov və Q.Qarayev küçəsində yerləşən “Premium Badamdar” yaşayış kompleksində 17 mərtəbəli yeni tikili binanın 17 ci mərtəbəsində 1 otaqdan 2 otağa düzəlmə sahəsi 75.4 kvm super təmirli mənzil satılır. Mansard deyil.  Binada qaz, su, işıq daimidir. Mənzilin xoş aurası və geniş işıqlı otaqları var. Mənzil şəxsi yaşayış üçün təmir olunmuş və təmirində çox keyfiyyətli materiallardan istifadə olunmuşdur. Mənzil tam əşyalıdır. Mənzilin təmiri zamanı yığma tavan, divarlarda dekorlardan, keyfiyyətli oboylardan, daxili qapılar, pərdələrdən, multisplit invertor,internet,mətbəx mebeli, sanuzeldə şüşəli kabina+ aksessuarlar ilə təchiz olunub. İnfrasturuktur cəhətdən çox əlverişli mühitdədir. Yaxınlıqda uşaq bağçası və məktəb, ticarət və xidmət obyektləri mövcuddur. Kompleksdə 24 saat kamera nəzarəti, kodlaşdırılmış giriş-çıxış, mərmər bloklar, müasir tələblərə uyğun lift, yanğın təhlükəsizlik sistemi mövcuddur. Kupça var. ",57,"Səbail r.
"," Badamdar q.
",,,,
1929432,2021-02-24,Yeni tikili,6 / 6,60 m²,2,yoxdur,57 000AZN,mülkiyyətçi,Masazir qurtulus 93 yadayis kompleksi 6 mertebeli binanin 6 ci mertebesi 60 kv 2 otaqdir bianin arxasi yola baxir rimontdu ve ewyali evdir ciddi insanlar elaqe saxlasin ve qaz xetti cekilib yaxinlarda qaz verilecek sened muqavi iledir orderi asan xidmetdenalmaq mumkundur,3,"Dostluq kinoteatrı 
"," Koala parkı 
"," Zoopark 
"," Nəsimi bazarı 
"," Abşeron r.
"," Masazır q.
"
1929431,2021-02-24,Yeni tikili,10 / 18,168 m²,3,var,269 000AZN,vasitəçi (agent),"MƏRKƏZ... 
Dəyərindən ucuz.. 
Rəşid Behbudov küçəsi.Aqua park-ın yanında. 
Egoist MTK Tam Təmirli ve Eşyalı 168 kv.m. 3 otağlı mənzil satılır. 
Binada QAZ yoxdur.Kupça var. 
Mərkəzi istilik sistemi və daima isti su ilə təchid olunur.. 
Real alıcı ilə yerində danışığ olacağ. 
Firmanin xidmət haqqı 1 % teşkil edir..
Mənzilin açarları məndədir.. 
Elavə məlumat üçün zəng ede bilərsiz..",575,"Azərbaycan Dillər Universiteti 
"," Sirk 
"," Bakı Slavyan Universiteti 
"," Zabitlər parkı 
"," Nəsimi r.
",
1929429,2021-02-24,Yeni tikili,7 / 16,90 m²,2,var,160 000AZN,vasitəçi (agent),"NERIMANOV MT YAXINLIGINDA QAZLI KUPCALI NAVASTROYKADA IPOTEKAYA YARARLI MENZIL SATILIR.

Nerimanov Metrosu Su sonasi sadliq sarayi yaxinliginda yerlesen yeni tikili 16 mertebeli binanin 7-ci mertebesinde 90 kv, 2 otaqli, temirli menzil satilir!! menzil kesintisiz qaz, su, isiq,metbex mebeli, kondisioner, kombi istilik sistemi, seyf qapi, daim islek veziyyetde lift, heyetyani sahede parking zone, mekteb, market, usaq bagcasi, gozellik salonu, fitness merkezi, idman kompleksi, restoran ve kafeler, eczaxana, xestexana, merkezi yolun yaxinliginda-elverisli yerde yerlesir!!

REAL ALICIYA EVE BAXILANDAN SONRA ENDIRIM OLUNACAK.",42,"Nəriman Nərimanov m.
"," Nəriman Nərimanov parkı 
"," Nərimanov r.
",,,
1929427,2021-02-24,Köhnə tikili,6 / 9,60 m²,3,var,83 000AZN,vasitəçi (agent),"Həzi Aslanov,Cavanşir küçəsi ATS-in yanında yerləşən 9 mərtəbəli Lelinqrad proektli binanın  6cı mərtəbəsində 2otaqlı yenicə təmir olunmuş mənzil satılır.Mənzildə qeydiyyatda heç kim yoxdur.Mənzildə təmirdən sonra yaşayış olmayıbdır..
Xidmət haqqı 1% təşkil edir",4,"Xətai r.
",,,,,
