id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
1183825,2021-02-26,Yeni tikili,12 / 18,96 m²,4,var,140 000AZN,mülkiyyətçi,"Neftçilər metrosunun yanında yerləşən bina Pronto MMC tərəfindən tikilib. Yaxşı təmirlidir. Su, qaz, işıq daimidir. Kombi sistemi ilə təchiz olunub. İnternet və telefonu var (Connect Tv). Eyvanda dolab yığılıb. Həyətində uşaq bağçası, fitnes zalı fəaliyyət göstərir. Mənzili özüm satıram.
",409,"Nizami r.
"," 8-ci kilometr q.
",,,,,,,,
1932996,2021-02-26,Yeni tikili,11 / 20,128 m²,3,yoxdur,235 000AZN,vasitəçi (agent),"Yasamal  rayonu, Musabeyov Parkinin yaxinliginda RICH MTK terefinden tikilmis yeni tikilide 20/11  128 kv 3 otaqli temirsiz menzil satilir. ",24,"Yasamal bazarı 
"," Yasamal r.
",,,,,,,,
1932995,2021-02-26,Yeni tikili,9 / 16,120 m²,3,var,188 000AZN,vasitəçi (agent),yasamalda sherifzade kuchesinde metroya yaxin itv nin yaninda yaxwi temirli ve ewyali menzil deyerinden ucuz satilir.infrastruktur cehetden cox elverliwli yerdedir.kupcha mart ayinda verilecek.artiq senedleri yigilib.,31,"20 Yanvar m.
"," Yasamal r.
",,,,,,,,
1932994,2021-02-26,Yeni tikili,13 / 17,118.6 m²,3,var,330 000AZN,vasitəçi (agent),"Şəhərin elit komplekslərindən biri olan Renessans-in 13cü mərtəbəsində 3otaqlı super təmirli mənzil satılır.Mənzilin təmiri zamanı yüksək keyfiyyətli tikinti materiallarından istifadə olunub.Mənzil 2 yataq otağı,1qonaq 2sanuzel və 1mətbəxdən ibarətdi.Mənzil skvaznoydu. Xidmət haqqı 1% təşkil edir",11,"Yasamal r.
",,,,,,,,,
1932993,2021-02-26,Köhnə tikili,3 / 5,200 m²,5,var,650 000AZN,vasitəçi (agent),"TECILI SATILIR....Seherin merkezinde menzil sahibi olmaq isteyenler ucun ela teklif Sahil baginin yaxinliginda Arxitektur lahiyeli das binada 5 otaqli super temirli menzil satilir.
Menzile giris blokdandir.
Menzilin balkonlari merkezi kuceye baxir.
Menzil cox gozel zovq ile temir olunubdur.
Menzilin temirinde bahali temir tikinti matrealindan istifade olunub satmaq meqsedi ile temir olunmayib.
Menzil musahide kamreasi ile muhavize olunur.
Menzilde istilik sistemi kombidir.
Menzilin tavan hundurluyu 4 m.
Menzilin otaqlari genis ve isiqlidir.
Menzilin blokuna merkezi kuceden bir basa girisi var.
Sekiller sertidir....!!!
Etrafli melumat ucun elaqe saxlaya bilersini.
Real alici ile qiymetde razilasmaq olar.",17,"Malokan bağı 
"," Sahil bağı 
"," Pedaqoji Universiteti 
"," Nizami kinoteatrı 
"," Milli Konservatoriya 
"," Bakı Musiqi Akademiyası 
"," Sahil m.
"," Neft Akademiyası 
"," 28 May m.
"," Nəsimi r.
"
1932992,2021-02-26,Yeni tikili,10 / 16,63 m²,2,var,101 000AZN,vasitəçi (agent),"28 may, yaşıl bazarın yanı 16/10 63kv²
1-2 düzəlmə mənzil
həyəti mühafizə, blok liftlər əla
təmir - qonağ yataq əla mətbəh s/q dəhliz normal
mənzil binanın mərkəzində yerləşir qabağı acıq üzü şəhərə dənizə
Cıxarış var
101000 azn",51,"28 May m.
"," Neft Akademiyası 
"," Bakı Musiqi Akademiyası 
"," Səməd Vurğun parkı 
"," Milli Konservatoriya 
"," Nəsimi r.
",,,,
1912653,2021-02-26,Köhnə tikili,9 / 9,85 m²,3,var,70 000AZN,vasitəçi (agent),"XAİS OLNUR BU NOMRE İLE ƏLAQE SAXLAYIN (055-895-01-92)
 Təcili Təcili Dəyərindən qat qat aşağı Mənzil  satilir.3 otaq orta təmirli evdir.kohne guneslide duz yolun kənarında yerləşir.104 46 nömrəli aftobuslar duz evin yanından metroya 15 deyqeye gedir.yaxinliqda mekteb poçt jek geniş istahet üçün park magazinler yerləşir .bir sözle çox əlverişli yerdədir.ponaramasi denizedir.9 cü mertebe olsada bütün damlar izolyasiya olunub.nemislik qətiyyən yoxdur.sened kupcadir.ofis haqqı 1000 AZN təşkil edir",10,"Xətai r.
"," Köhnə Günəşli q.
",,,,,,,,
1909326,2021-02-26,Yeni tikili,14 / 15,95 m²,3,var,120 000AZN,vasitəçi (agent),"HORMETLI MUSTERILER !!!
TECILI SATILIR !!!
Yeni Yasamal qesebesi yerlsen SERUR MTK da 15 mertebeli yeni tikili binanin 14 ci mertebesinde yerlsen umumi sahesi 95 kvm olan,3 otaqli (2 otaqdan 3 e ideal duzelmis ) zovqle temir olunmus menzil. satilir .Binanin qazi su isigi daimidir ,istilik sistemi kombidir,Suretli lifti var .Genis heyeti var,.Cox gozel panaramasi var Xais olunur real alicilar narahat etsin !, Son Qiymetdir !!
Wirketin xidmet haqqi 1 % teskil edir.",51,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
1932988,2021-02-26,Yeni tikili,11 / 18,140 m²,3,yoxdur,300 000AZN,vasitəçi (agent),"RENESSSANS PALASE yeni tikili kompleksinde 3 otaqli temirsiz menzil satisha
teklif olunur.Kompleksin 1,7 ha heyeti 1500 avtomobillik uc mertebeli parkinqi var ve daimi muhafize xidmet gosterir.",27,"Yasamal r.
",,,,,,,,,
1932987,2021-02-26,Yeni tikili,9 / 16,130 m²,3,var,220 000AZN,vasitəçi (agent),"GENCLIK MT YAXINLIGINDA QAZLI KUPCALI NAVASTROYKADA IPOTEKAYA YARARLI MENZIL TECILI SATILIR.

Genclik metrosu abu arena yaxinliginda yerlesen yeni tikili 16 mertebeli binanin 9-cu mertebesinde 130 kv, 3 otaqli (elave olarak 1 balaca otaq boyda boyuk qladofkasi var) , ela temirli menzil satilir!! menzilde kesintisiz qaz, su, isiq,metbex mebeli, kondisioner, kombi istilik sistemi isti pol, seyf qapi mevcuddur. bina daim islek veziyyetde lift, heyetyani sahede parking zone la temin olunup ve mekteb, market, usaq bagcasi, gozellik salonu, fitness merkezi, idman kompleksi, restoran ve kafeler, eczaxana, xestexana, merkezi yolun yaxinliginda-elverisli yerde yerlesir!!

REAL MUSTERIYE EVE BAXILANDAN SONRA REAL ENDIRIM OLUNACAQ.",13,"Gənclik m.
"," Respublika stadionu 
"," Nərimanov r.
",,,,,,,
1932986,2021-02-26,Yeni tikili,5 / 18,47 m²,2,yoxdur,125 000AZN,vasitəçi (agent),"Dizaynerin çəkdiyi ölçülər əsasında mənzil çox səliqəli təmir olunub və təmir zamanı İtaliya, Türkiyə, Almaniya, Çexiya kimi ölkələrin istehsal etdiyi keyfiyyətli materiallardan istifadə olunub. Mənzildə kombi sistemi, isti pol, damafon mövcuddur. Mənzil yaşayış üçün nəzərdə tutulmuş bütün lazımı, yeni əşyalarla təhçiz olunub. Binada tam yaşayış var və qaz, su, işıq daimidir. Binanın -1 -2 mərtəbələri avto dayanacaqdır,18-mertebenin 5-ci mertebesinde yerlewir sahasi  47 kv tam esyali,Kupca yaxin vaxta verilecek.",20,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
1932985,2021-02-26,Yeni tikili,15 / 19,70 m²,1,yoxdur,82 800AZN,vasitəçi (agent),"Nəsimi rayonu Tblisi prospektində Nurgun Motorsun yaninda yeni tikili 19 mərtəbəli binanin 15 mərtəbəsində 1 otaqli Şəhərə mənzərəsi olan  podmayak mənzil satilir.Binada qaz su işiq daimidir.Real aliciya endirim mumkundur.Kompleksin 24 saat mühafizə olunan həyəti və həyətində uşaq əyləncələri,marketlər,gözəllik salonları və bütün infrastruktur mövcuddur.Binanın mühafizə olunan açıq və bağlı parkingi var.
ŞİRKƏTƏ ALİCİ TƏRƏFİNDƏN 1 % ÖDƏNİŞ OLUNACAQ.",24,"Nəsimi r.
",,,,,,,,,
1932984,2021-02-26,Yeni tikili,8 / 8,50 m²,2,yoxdur,27 000AZN,mülkiyyətçi,Xirdalanda duz merkezde icraya dusen yol 1 bloku binadir radnoy otaqdir binada komunal xetler cekilir aprel ayina remonta icaze verilecek tecili satiram,5,"Abşeron r.
"," Masazır q.
",,,,,,,,
